trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,turnover_rate,volume_ratio,total_share,float_share,free_share,total_mv,circ_mv
20251124,7.17,72.568,65.4816,1.9156,1.1083,0.9135,0.3629,0.4746,1.6655,0.65,116572.23,116222.37,42921.6044,835822.8891,833314.3929
20251125,7.29,73.7825,66.5775,1.9477,1.1269,0.9288,0.3569,0.4667,1.5337,0.68,116572.23,116222.37,42921.6044,849811.5567,847261.0773
20251126,7.28,73.6813,66.4862,1.945,1.1253,0.9276,0.3574,0.4674,1.1168,0.54,116572.23,116222.37,42921.6044,848645.8344,846098.8536
20251127,7.22,73.074,65.9382,1.929,1.1161,0.9199,0.3604,0.4713,0.7313,0.43,116572.23,116222.37,42921.6044,841651.5006,839125.5114
20251128,7.54,76.3128,68.8607,2.0145,1.1655,0.9607,0.3451,0.4513,2.48,1.71,116572.23,116222.37,42921.6044,878954.6142,876316.6698
20251201,7.77,78.6406,70.9612,2.0759,1.2011,0.99,0.3349,0.4379,2.6563,1.76,116572.23,116222.37,42921.6044,905766.2271,903047.8149
20251202,7.69,77.8309,70.2306,2.0546,1.1887,0.9798,0.3384,0.4425,1.1217,0.66,116572.23,116222.37,42921.6044,896440.4487,893750.0253
20251203,7.75,78.4382,70.7786,2.0706,1.198,0.9874,0.3357,0.439,1.4143,0.87,116572.23,116222.37,42921.6044,903434.7825,900723.3675
20251204,7.61,77.0212,69.5,2.0332,1.1764,0.9696,0.3419,0.4471,0.8605,0.51,116572.23,116222.37,42921.6044,887114.6703,884452.2357
20251205,7.78,78.7418,71.0526,2.0786,1.2026,0.9913,0.3344,0.4373,1.019,0.6,116572.23,116222.37,42921.6044,906931.9494,904210.0386
20251208,7.78,78.7418,71.0526,2.0786,1.2026,0.9913,0.3344,0.4373,1.3264,0.94,116572.23,116222.37,42921.6044,906931.9494,904210.0386
20251209,7.8,78.9442,71.2352,2.084,1.2057,0.9938,0.3336,0.4362,1.1784,1.03,116572.23,116222.37,42921.6044,909263.394,906534.486
20251210,7.78,78.7418,71.0526,2.0786,1.2026,0.9913,0.3344,0.4373,0.9462,0.82,116572.23,116222.37,42921.6044,906931.9494,904210.0386
20251211,7.88,79.7539,71.9658,2.1053,1.2181,1.004,0.3302,0.4318,1.9357,1.82,116572.23,116222.37,42921.6044,918589.1724,915832.2756
20251212,8.0,80.9684,73.0618,2.1374,1.2366,1.0193,0.3252,0.4253,1.5508,1.21,116572.23,116222.37,42921.6044,932577.84,929778.96
20251215,8.23,83.2963,75.1623,2.1988,1.2722,1.0486,0.3162,0.4134,2.6292,1.89,116572.23,116222.37,42921.6044,959389.4529,956510.1051
20251216,7.9,79.9563,72.1485,2.1107,1.2212,1.0066,0.3294,0.4307,1.9233,1.17,116572.23,116222.37,42921.6044,920920.617,918156.723
20251217,7.91,80.0575,72.2398,2.1133,1.2227,1.0078,0.3289,0.4302,1.3158,0.73,116572.23,116222.37,42921.6044,922086.3393,919318.9467
20251218,7.87,79.6527,71.8745,2.1027,1.2165,1.0027,0.3306,0.4323,1.3466,0.72,116572.23,116222.37,42921.6044,917423.4501,914670.0519
